arch_id,run_id,layers,depth,width,total_params,initial_loss,final_loss,test_loss,gen_gap,improvement_pct,convergence_iter,activation_dist
5,1,"[8, 4, 1]",3,4,41,14.081482619637796,13.684138349514551,12.41022014969022,-1.2739181998243314,2.821750243607981,15,{np.str_('logistic'): 1}
5,0,"[8, 4, 1]",3,4,41,14.979393819242965,13.684138349514546,12.41089372749894,-1.2732446220156053,8.646915124592667,7,{np.str_('logistic'): 1}
5,2,"[8, 4, 1]",3,4,41,13.827733582161676,13.684138349514551,12.41179492800061,-1.2723434215139413,1.038458195581434,16,{np.str_('logistic'): 1}
6,0,"[8, 8, 1]",3,8,81,14.794483315213583,13.684142294068922,12.411173632417727,-1.2729686616511948,7.505101715873148,8,{np.str_('logistic'): 1}
6,1,"[8, 8, 1]",3,8,81,14.558616712494628,13.684138994168256,12.411784713027037,-1.2723542811412187,6.006598948208241,13,{np.str_('logistic'): 1}
6,2,"[8, 8, 1]",3,8,81,14.110060141612555,13.684139279154703,12.410595721774463,-1.2735435573802398,3.0185616374642636,30,{np.str_('logistic'): 1}
7,0,"[8, 16, 1]",3,16,161,14.830651421227882,13.68458627534794,12.413284153394562,-1.2713021219533776,7.727679070384733,23,{np.str_('logistic'): 1}
7,2,"[8, 16, 1]",3,16,161,14.772476530917157,13.684263683316127,12.412167091692286,-1.272096591623841,7.366488925018909,32,{np.str_('logistic'): 1}
7,1,"[8, 16, 1]",3,16,161,15.171037894497891,13.684320585539492,12.41356165418214,-1.2707589313573529,9.79970730610059,20,{np.str_('logistic'): 1}
8,0,"[8, 32, 1]",3,32,321,14.395608202773337,13.684939979937369,12.412784498047962,-1.2721554818894063,4.936701616393373,64,{np.str_('logistic'): 1}
8,2,"[8, 32, 1]",3,32,321,14.783896804075143,13.685398987042507,12.41017900425503,-1.275219982787478,7.4303671866123775,31,{np.str_('logistic'): 1}
8,1,"[8, 32, 1]",3,32,321,14.178878689337832,13.68472100822898,12.413236953820979,-1.2714840544080008,3.4851675646286955,55,{np.str_('logistic'): 1}
9,0,"[8, 64, 1]",3,64,641,13.875308973131627,13.68432819133432,12.413166566647545,-1.2711616246867745,1.3764074167078064,56,{np.str_('logistic'): 1}
9,2,"[8, 64, 1]",3,64,641,14.359619141577562,13.68496859007302,12.414500675017788,-1.2704679150552316,4.698248225477833,38,{np.str_('logistic'): 1}
9,1,"[8, 64, 1]",3,64,641,14.138984766444581,13.685512296810765,12.414510621424126,-1.271001675386639,3.207249156318648,52,{np.str_('logistic'): 1}
10,0,"[8, 4, 4, 1]",4,4,61,13.721974645171658,13.684138349514553,12.410920465870259,-1.2732178836442944,0.27573506463530734,4,"{np.str_('relu'): 1, np.str_('logistic'): 1}"
