run_id,layers,num_layers,total_params,initial_train_loss,final_train_loss,test_loss,improvement_percent,convergence_iteration,generalization_gap,depth,experiment,width,shape
1,"[8, 16, 32, 64, 1]",5,2865,17.57950676926554,6.060544269362071,11.166911752339475,65.52494703686573,298,5.106367482977404,,shape,,pyramid_expanding
2,"[8, 16, 32, 64, 1]",5,2865,16.863674222319244,6.335608315065888,7.954199906712938,62.4304393482611,282,1.61859159164705,,shape,,pyramid_expanding
3,"[8, 16, 32, 64, 1]",5,2865,17.41072144960364,5.4372310851270385,11.146629085145758,68.77078815564637,282,5.709398000018719,,shape,,pyramid_expanding
4,"[8, 16, 32, 64, 1]",5,2865,17.477511316975885,5.301988696227455,10.643237284387558,69.66393784521462,344,5.341248588160103,,shape,,pyramid_expanding
5,"[8, 16, 32, 64, 1]",5,2865,17.279430592948824,7.951919479608481,8.2521318675189,53.980431028477284,187,0.3002123879104186,,shape,,pyramid_expanding
6,"[8, 16, 32, 64, 1]",5,2865,17.280513049167816,6.051292498752606,11.224907136029575,64.98198588470717,317,5.173614637276969,,shape,,pyramid_expanding
7,"[8, 16, 32, 64, 1]",5,2865,17.195838428410962,6.646657058197803,9.606311308088548,61.34729291701068,360,2.959654249890745,,shape,,pyramid_expanding
8,"[8, 16, 32, 64, 1]",5,2865,17.375820193060065,5.832713703469525,11.052468485454346,66.43200931718249,307,5.219754781984821,,shape,,pyramid_expanding
9,"[8, 16, 32, 64, 1]",5,2865,17.356773959803924,6.320008584466905,8.463471131591394,63.587654024283324,351,2.1434625471244892,,shape,,pyramid_expanding
0,"[8, 64, 32, 16, 1]",5,3201,17.322329633164806,5.425584324808472,9.603608954882377,68.67866828708297,371,4.178024630073905,,shape,,pyramid_contracting
1,"[8, 64, 32, 16, 1]",5,3201,17.42762938891971,5.320655668208909,11.051384146361872,69.4699976142956,345,5.7307284781529635,,shape,,pyramid_contracting
2,"[8, 64, 32, 16, 1]",5,3201,17.57309380790011,6.1458573600472315,12.488492706733332,65.0268903857765,366,6.342635346686101,,shape,,pyramid_contracting
3,"[8, 64, 32, 16, 1]",5,3201,17.615605863699535,6.9920791344420286,14.486197479040523,60.30747288203921,390,7.494118344598495,,shape,,pyramid_contracting
4,"[8, 64, 32, 16, 1]",5,3201,17.442623371673967,5.506000451195495,11.287481140140603,68.43364479143091,359,5.781480688945107,,shape,,pyramid_contracting
5,"[8, 64, 32, 16, 1]",5,3201,17.148055540519454,5.83859134974,8.321880709637743,65.95187520856878,324,2.483289359897743,,shape,,pyramid_contracting
6,"[8, 64, 32, 16, 1]",5,3201,17.541163431778486,5.866015925425732,11.216385679783498,66.55856979931815,304,5.350369754357766,,shape,,pyramid_contracting
7,"[8, 64, 32, 16, 1]",5,3201,17.41893245350509,4.8548336799856635,12.626661069699768,72.12898268625665,303,7.771827389714105,,shape,,pyramid_contracting
8,"[8, 64, 32, 16, 1]",5,3201,17.468884468866808,5.710209412193259,9.690384981644335,67.31211187314197,279,3.9801755694510765,,shape,,pyramid_contracting
9,"[8, 64, 32, 16, 1]",5,3201,17.19441388376273,8.245129411935002,12.270198652334956,52.04762739995948,265,4.025069240399954,,shape,,pyramid_contracting
0,"[8, 16, 32, 16, 1]",5,1233,17.52343337977991,6.1416642386812255,9.530775071358795,64.95170720500457,329,3.389110832677569,,shape,,diamond
1,"[8, 16, 32, 16, 1]",5,1233,17.5364938172876,5.403756847367312,10.941715771061366,69.18564849012036,254,5.537958923694054,,shape,,diamond
2,"[8, 16, 32, 16, 1]",5,1233,17.602560908131185,6.22007628844413,9.13351836821689,64.66379908635409,310,2.9134420797727607,,shape,,diamond
3,"[8, 16, 32, 16, 1]",5,1233,17.409137110277918,5.616825020892337,8.525772081966599,67.73633876674849,319,2.9089470610742616,,shape,,diamond
4,"[8, 16, 32, 16, 1]",5,1233,17.514261505833534,5.565102591423068,9.056027072645781,68.22530833190152,292,3.490924481222713,,shape,,diamond
5,"[8, 16, 32, 16, 1]",5,1233,17.558305151733656,5.363824169765251,9.273183294129353,69.45135579195897,313,3.9093591243641024,,shape,,diamond
6,"[8, 16, 32, 16, 1]",5,1233,17.514759711201346,5.524006028935998,10.951450199976183,68.46085176148213,326,5.427444171040185,,shape,,diamond
7,"[8, 16, 32, 16, 1]",5,1233,17.643884943899177,5.848339226006971,10.510694182623455,66.85344954015252,394,4.662354956616484,,shape,,diamond
8,"[8, 16, 32, 16, 1]",5,1233,17.62693937561096,5.73274221196008,9.30958245290524,67.47738169513401,250,3.5768402409451596,,shape,,diamond
9,"[8, 16, 32, 16, 1]",5,1233,17.55554583186821,5.5953749331157185,8.751379376519012,68.12759348696208,240,3.156004443403293,,shape,,diamond
0,"[8, 16, 16, 16, 1]",5,705,17.624018237395514,5.250841102380212,8.093431318663141,70.20633415347518,279,2.842590216282929,,shape,,rectangle
1,"[8, 16, 16, 16, 1]",5,705,17.54904743564313,5.792524806179742,8.558330230983207,66.9923690877102,280,2.7658054248034656,,shape,,rectangle
2,"[8, 16, 16, 16, 1]",5,705,17.597846935146503,5.399146798287351,7.860680986790155,69.3192762831449,261,2.461534188502804,,shape,,rectangle
